DateTime,Ask,Bid,Ask Volume,Bid Volume
15.09.2023 09:05:08.138,1.06656,1.06655,0,0
15.09.2023 09:05:08.242,1.06656,1.06654,0,0
15.09.2023 09:05:09.316,1.06655,1.06654,0,0
15.09.2023 09:05:09.606,1.06656,1.06654,0,0
15.09.2023 09:05:11.245,1.06656,1.06653,0,0
15.09.2023 09:05:14.338,1.06656,1.06652,0,0
15.09.2023 09:05:16.334,1.06651,1.0665,0,0
15.09.2023 09:05:16.540,1.0665,1.06648,0,0
15.09.2023 09:05:16.643,1.0665,1.06647,0,0
15.09.2023 09:05:18.861,1.06651,1.06647,0,0
15.09.2023 09:05:18.964,1.0665,1.06647,0,0
15.09.2023 09:05:20.513,1.06647,1.06645,0,0
15.09.2023 09:05:20.618,1.06645,1.06644,0,0
15.09.2023 09:05:20.721,1.06646,1.06643,0,0
15.09.2023 09:05:20.824,1.06645,1.06643,0,0
15.09.2023 09:05:21.046,1.06646,1.06643,0,0
15.09.2023 09:05:21.220,1.06647,1.06645,0,0
15.09.2023 09:05:21.272,1.06649,1.06646,0,0
15.09.2023 09:05:23.401,1.0665,1.06646,0,0
15.09.2023 09:05:23.504,1.0665,1.06647,0,0
15.09.2023 09:05:25.574,1.06652,1.06649,0,0
15.09.2023 09:05:27.248,1.06652,1.06648,0,0
15.09.2023 09:05:27.490,1.06651,1.06648,0,0
15.09.2023 09:05:31.505,1.0665,1.06648,0,0
15.09.2023 09:05:31.608,1.06651,1.06648,0,0
15.09.2023 09:05:36.468,1.06652,1.06648,0,0
15.09.2023 09:05:36.571,1.06651,1.06648,0,0
15.09.2023 09:05:36.674,1.06652,1.06648,0,0
15.09.2023 09:05:39.695,1.06651,1.06648,0,0
15.09.2023 09:05:51.994,1.06651,1.06649,0,0
15.09.2023 09:05:52.271,1.06652,1.06651,0,0
15.09.2023 09:05:52.374,1.06653,1.06652,0,0
15.09.2023 09:05:52.426,1.06655,1.06652,0,0
15.09.2023 09:05:52.530,1.06655,1.06653,0,0
15.09.2023 09:05:53.155,1.06656,1.06653,0,0
15.09.2023 09:05:55.008,1.06655,1.06653,0,0
15.09.2023 09:05:55.060,1.06654,1.06651,0,0
15.09.2023 09:05:56.097,1.06654,1.0665,0,0
15.09.2023 09:05:56.200,1.06653,1.0665,0,0
15.09.2023 09:05:56.659,1.06651,1.06648,0,0
15.09.2023 09:05:57.562,1.06652,1.06649,0,0
15.09.2023 09:05:57.666,1.06653,1.06651,0,0
15.09.2023 09:05:57.770,1.06655,1.06652,0,0
15.09.2023 09:05:57.874,1.06654,1.06651,0,0
15.09.2023 09:05:57.976,1.06655,1.06652,0,0
15.09.2023 09:05:58.080,1.06656,1.06652,0,0
15.09.2023 09:05:58.183,1.06655,1.06652,0,0
15.09.2023 09:05:58.287,1.06656,1.06652,0,0
15.09.2023 09:05:59.692,1.06654,1.06652,0,0
15.09.2023 09:05:59.905,1.06655,1.06652,0,0
15.09.2023 09:06:00.057,1.06654,1.06652,0,0
15.09.2023 09:06:00.386,1.06656,1.06652,0,0
15.09.2023 09:06:00.488,1.06656,1.06653,0,0
15.09.2023 09:06:01.265,1.06656,1.06652,0,0
15.09.2023 09:06:01.897,1.06656,1.06653,0,0
15.09.2023 09:06:02.793,1.06655,1.06652,0,0
15.09.2023 09:06:04.013,1.06654,1.06652,0,0
